"ID","post_title","coords"
43763,"Bibliotheek Zonhoven","50.9907659,5.3662018"
43335,"Musée Provincial Félicien Rops","50.4633848,4.8627213"
44098,"Kasteel van Horst","50.9321713,4.8320582"
43822,"Italiaans restaurant L'Altro Mondo","50.848877,4.3529116"
42864,"Sport- en recreatieoord Kluisbos","50.7620644,3.4926031"
42838,"De Wimpe","51.1285945,4.7625066"
45674,"Figurentheater Propop","51.3304995,4.9547034"
44522,"Bezoekerscentrum Sincfala","51.3376763,3.2453678"
45502,"Pottelberg Bowling","50.814504,3.243697"
44545,"ACS computers","51.0101911,3.8823182"
45335,"Museum Het Rembrandthuis","52.369369,4.901235"
81357,"Belevingscentrum '14-'18 Tildonk","50.9441703,4.6449113"
45789,"Brugse Boekhandel","51.2067696,3.226993"
42989,"Groeningemuseum","51.2058768,3.2257989"
42989,"Groeningemuseum","51.2058768,3.2257989"
43715,"Museum Paul Tetar van Elven","52.0095143,4.3587835"
45998,"Bibliotheek De Seylsteen Veurne","51.0700321,2.6616903"
45635,"Grafisch Huis","50.8505444,3.613474"
45874,"Abdijboekhandel De&nbsp;Oude Linden","51.1029811,4.9075799"
45142,"Zonhoven in de prehistorie","50.9903568,5.3675733"
44286,"Jubelparkmuseum","50.8392063,4.3924016"
43316,"Archéoforum","50.644208,5.5680545"
45786,"Oberonn","50.9350655,5.3400108"
44621,"Vakantieverblijf Hoeve&nbsp;Jadoul","50.7046454,5.1715084"
43866,"Bed & breakfast La Grange de Saint-Romain","44.708033,1.401809"
44169,"Provinciaal domein Het Leen","51.1728281,3.5832775"
43950,"Boekhandel Passa Porta","50.8495927,4.3467557"
45171,"Hobby-, school- en kantoorbenodigdheden Casi One","50.8523815,4.3538015"
43115,"Musée Hergé","50.671152,4.6127708"
44577,"CC Lanaken","50.8888139,5.6564158"
45125,"Bonnet Office Supplies","50.8864469,3.4316192"
